"id","status","link"
1,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-tecnocasa-immobili-commerciali-tuscolano-srls-roma-tc-20442
2,Done,https://www.trovacasa.it/agenzie-immobiliari/tua-re-roma-tc-77532
3,Done,https://www.trovacasa.it/agenzie-immobiliari/roma-immobili-tc-37185
4,Done,https://www.trovacasa.it/agenzie-immobiliari/balduina-immobiliare-roma-tc-25202
5,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-toscano-agenzia-di-roma-ostia-ponente-tc-47814
6,Done,https://www.trovacasa.it/agenzie-immobiliari/homeplace-group-roma-tc-69963
7,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-tecnocasa-castelverde-villaggio-prenestino-srl-roma-tc-31599
8,Done,https://www.trovacasa.it/agenzie-immobiliari/paless-immobiliare-srl-roma-tc-78642
9,Done,https://www.trovacasa.it/agenzie-immobiliari/immobiliare-marella-srl-roma-tc-7581
10,Done,https://www.trovacasa.it/agenzie-immobiliari/toscano-spa-agenzia-di-roma-ostia-tc-30441
11,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-tecnocasa-immobili-commerciali-boccea-srl-roma-tc-74303
12,Done,https://www.trovacasa.it/agenzie-immobiliari/centro-agenti-immobiliari-srls-roma-tc-49857
13,Done,https://www.trovacasa.it/agenzie-immobiliari/alpha-immobiliare-srl-roma-tc-9293
14,Done,https://www.trovacasa.it/agenzie-immobiliari/holding-property-solutions-roma-tc-84481
15,Done,https://www.trovacasa.it/agenzie-immobiliari/affitti-sicuri-roma-tc-9202
16,Done,https://www.trovacasa.it/agenzie-immobiliari/immobiliare-cannavale-s-r-l-roma-tc-64431
17,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-toscano-agenzia-di-roma-infernetto-tc-37190
18,Done,https://www.trovacasa.it/agenzie-immobiliari/affiliato-tecnocasa-immobili-commerciali-jonio-srl-roma-tc-90321
19,Done,https://www.trovacasa.it/agenzie-immobiliari/frimm-montesacro-roma-tc-38136
20,Done,https://www.trovacasa.it/agenzie-immobiliari/areacasa-roma-tc-90092
